country,region,population,income,health_expenditure,life_expectancy,babies_per_woman
Afghanistan,Asia,29200000.00,1960.00,37.70,59.90,5.82
Albania,Europe,2950000.00,10800.00,241.00,77.60,1.65
Algeria,Africa,36000000.00,11000.00,178.00,76.30,2.89
Andorra,Europe,84500.00,43600.00,3100.00,82.30,NA
Angola,Africa,23400000.00,7690.00,123.00,59.90,6.16
Antigua and Barbuda,Americas,88000.00,18200.00,690.00,76.60,2.13
Argentina,Americas,40900000.00,23500.00,742.00,75.80,2.37
Armenia,Asia,2880000.00,9290.00,134.00,74.00,1.55
Australia,Oceania,22200000.00,45100.00,4780.00,82.00,1.93
Austria,Europe,8410000.00,51900.00,4960.00,80.60,1.44
Azerbaijan,Asia,9030000.00,14300.00,332.00,69.30,1.96
Bahamas,Americas,355000.00,36500.00,1740.00,73.40,1.87
Bahrain,Asia,1240000.00,44600.00,864.00,78.20,2.14
Bangladesh,Asia,148000000.00,2880.00,NA,69.50,2.28
Barbados,Americas,282000.00,15600.00,1000.00,76.70,1.78
Belarus,Europe,9420000.00,17300.00,320.00,70.40,1.54
Belgium,Europe,10900000.00,48100.00,4620.00,80.10,1.81
Belize,Americas,322000.00,7210.00,239.00,73.60,2.72
Benin,Africa,9200000.00,2710.00,31.00,61.40,5.36
Bhutan,Asia,686000.00,8190.00,109.00,71.60,2.38
Bolivia (Plurinational State of),Americas,10000000.00,6610.00,96.50,70.80,NA
Bosnia and Herzegovina,Europe,3710000.00,11000.00,499.00,76.30,1.31
Botswana,Africa,1990000.00,14100.00,615.00,60.20,2.88
Brazil,Americas,196000000.00,14900.00,990.00,74.40,1.81
Brunei,Asia,389000.00,67800.00,882.00,75.10,1.84
Bulgaria,Europe,7430000.00,17500.00,435.00,73.80,1.49
Burkina Faso,Africa,15600000.00,1720.00,39.80,58.30,5.87
Burundi,Africa,8680000.00,846.00,20.70,57.80,6.26
Cambodia,Asia,14300000.00,2790.00,45.20,67.10,2.88
Cameroon,Africa,20300000.00,3090.00,61.30,57.70,5.11
Canada,Americas,34100000.00,45000.00,5220.00,81.40,1.64
Central African Republic,Africa,4390000.00,1200.00,18.20,48.00,5.22
Chad,Africa,12000000.00,1730.00,30.60,56.40,6.59
Chile,Americas,17100000.00,21300.00,947.00,78.60,1.88
China,Asia,1370000000.00,8890.00,221.00,75.80,1.59
Colombia,Americas,45200000.00,11800.00,472.00,78.10,2.01
Comoros,Africa,690000.00,2880.00,33.20,66.50,4.92
Congo. Democratic Republic of the,Africa,64600000.00,866.00,15.80,57.90,NA
Congo. Rep.,Africa,4270000.00,5220.00,72.30,59.80,4.95
Costa Rica,Americas,4580000.00,16400.00,811.00,79.40,1.92
Côte d'Ivoire,Africa,20500000.00,2940.00,59.80,57.40,NA
Croatia,Europe,4330000.00,24400.00,1070.00,76.80,1.47
Cuba,Americas,11200000.00,7570.00,607.00,78.30,1.64
Cyprus,Asia,1110000.00,38200.00,1710.00,80.10,1.42
Czech Republic,Europe,10500000.00,33600.00,1480.00,77.70,1.47
Denmark,Europe,5550000.00,51000.00,6420.00,79.30,1.88
Djibouti,Africa,840000.00,3680.00,91.70,63.80,3.30
Dominica,Americas,70900.00,12000.00,419.00,73.60,NA
Dominican Republic,Americas,9700000.00,12800.00,323.00,74.00,2.60
Ecuador,Americas,15000000.00,10300.00,328.00,74.70,2.66
Egypt,Africa,82800000.00,10300.00,123.00,69.40,3.19
El Salvador,Americas,6180000.00,7330.00,237.00,73.40,2.27
Equatorial Guinea,Africa,944000.00,34700.00,896.00,62.20,5.21
Eritrea,Africa,3170000.00,2190.00,11.90,58.60,4.61
Estonia,Europe,1330000.00,26200.00,853.00,76.00,1.64
Eswatini,Africa,1060000.00,7460.00,203.00,46.00,3.53
Ethiopia,Africa,87600000.00,1260.00,15.70,62.90,4.92
Fiji,Oceania,860000.00,10500.00,154.00,67.40,2.67
Finland,Europe,5370000.00,45900.00,3980.00,80.20,1.87
France,Europe,62900000.00,42300.00,4690.00,81.40,1.99
Gabon,Africa,1620000.00,14400.00,302.00,62.80,4.08
Gambia,Africa,1790000.00,2350.00,26.10,63.60,5.71
Georgia,Asia,4100000.00,9740.00,272.00,72.80,1.92
Germany,Europe,80800000.00,47100.00,4670.00,80.40,1.39
Ghana,Africa,24800000.00,3730.00,67.00,61.60,4.27
Greece,Europe,10900000.00,34100.00,2730.00,80.30,1.41
Grenada,Americas,106000.00,13400.00,439.00,74.10,2.24
Guatemala,Americas,14600000.00,7340.00,197.00,71.70,3.38
Guinea,Africa,10200000.00,1870.00,23.00,57.40,5.34
Guinea-Bissau,Africa,1520000.00,1750.00,46.90,55.90,5.05
Guyana,Americas,749000.00,9810.00,159.00,68.00,2.66
Haiti,Americas,9950000.00,2740.00,46.40,32.50,3.33
Honduras,Americas,8320000.00,4870.00,NA,72.80,2.87
Hungary,Europe,9930000.00,24500.00,942.00,74.60,1.33
Iceland,Europe,320000.00,46600.00,3720.00,82.40,2.07
India,Asia,1230000000.00,4230.00,54.30,66.70,2.60
Indonesia,Asia,242000000.00,8290.00,76.90,69.70,2.48
Iran (Islamic Republic of),Asia,73800000.00,13800.00,317.00,75.20,NA
Iraq,Asia,29700000.00,9060.00,247.00,73.50,4.56
Ireland,Europe,4550000.00,53000.00,4240.00,80.70,2.00
Israel,Asia,7350000.00,35000.00,2180.00,81.80,3.00
Italy,Europe,59300000.00,42800.00,3250.00,82.00,1.43
Jamaica,Americas,2810000.00,9440.00,247.00,75.80,2.17
Japan,Asia,129000000.00,37700.00,4070.00,83.10,1.37
Jordan,Asia,7260000.00,11300.00,357.00,77.60,3.66
Kazakhstan,Asia,16300000.00,20800.00,393.00,68.40,2.67
Kenya,Africa,42000000.00,3330.00,36.90,61.20,4.37
Kiribati,Oceania,103000.00,1930.00,160.00,60.90,3.84
Kuwait,Asia,2990000.00,58800.00,1220.00,81.20,2.22
Kyrgyzstan,Asia,5420000.00,4140.00,53.50,69.70,NA
Lao People's Democratic Republic,Asia,6250000.00,4850.00,46.20,63.80,NA
Latvia,Europe,2120000.00,21100.00,718.00,73.20,1.51
Lebanon,Asia,4950000.00,19500.00,651.00,77.20,1.61
Lesotho,Africa,2000000.00,2270.00,109.00,47.80,3.30
Liberia,Africa,3890000.00,1420.00,29.20,61.30,5.02
Libya,Africa,6200000.00,22500.00,484.00,73.40,2.41
Lithuania,Europe,3120000.00,24000.00,781.00,73.30,1.51
Luxembourg,Europe,508000.00,108000.00,8180.00,80.80,1.58
Madagascar,Africa,21200000.00,1550.00,15.90,61.70,4.60
Malawi,Africa,14500000.00,969.00,25.60,54.20,5.31
Malaysia,Asia,28200000.00,20500.00,368.00,74.40,2.15
Maldives,Asia,366000.00,16300.00,383.00,79.20,2.23
Mali,Africa,15000000.00,2080.00,31.70,59.40,6.55
Malta,Europe,414000.00,32900.00,1700.00,80.40,1.39
Marshall Islands,Oceania,56400.00,3650.00,520.00,63.00,NA
Mauritania,Africa,3490000.00,4770.00,42.70,68.20,4.98
Mauritius,Africa,1250000.00,16800.00,449.00,74.00,1.58
Mexico,Americas,114000000.00,17800.00,NA,75.20,2.34
Micronesia. Fed. Sts.,Oceania,103000.00,3660.00,366.00,67.00,3.46
Moldova,Europe,4090000.00,8550.00,190.00,69.80,1.27
Monaco,Europe,35600.00,60500.00,6330.00,NA,NA
Mongolia,Asia,2720000.00,7480.00,120.00,66.00,2.64
Montenegro,Europe,624000.00,16800.00,578.00,76.00,1.77
Morocco,Africa,32300000.00,6280.00,148.00,72.10,2.58
Mozambique,Africa,23500000.00,1030.00,21.30,52.00,5.56
Myanmar,Asia,50600000.00,3130.00,17.10,64.80,2.41
Namibia,Africa,2120000.00,8890.00,361.00,59.00,3.61
Nauru,Oceania,10000.00,6700.00,713.00,NA,NA
Nepal,Asia,27000000.00,2360.00,NA,69.20,2.61
Netherlands,Europe,16700000.00,52200.00,5590.00,80.80,1.80
New Zealand,Oceania,4370000.00,37800.00,3280.00,80.70,2.12
Nicaragua,Americas,5820000.00,4610.00,NA,77.60,2.43
Niger,Africa,16500000.00,1040.00,18.30,59.10,7.49
Nigeria,Africa,159000000.00,4930.00,62.80,60.50,5.84
North Macedonia,Europe,2070000.00,13500.00,317.00,75.90,1.47
Norway,Europe,4890000.00,61500.00,8090.00,80.90,1.95
Oman,Asia,3040000.00,33900.00,574.00,75.20,2.90
Pakistan,Asia,179000000.00,3910.00,21.80,64.30,3.86
